Order_ID,Order_Date,Year,Month,City,Restaurant_Name,Category,Customer_ID,Quantity,Sales_Amount,Discount,Delivery_Fee,Cost_Amount,Profit,Payment_Mode,Order_Status
ZM100107,2022-07-25,2022,July,Kolkata,Pizza Hub,Burger,C1107,3,774,24,94,642,202,Card,Delivered
ZM100108,2022-07-27,2022,July,Kolkata,Chinese Wok,Rolls,C1108,3,1075,178,73,692,278,UPI,Cancelled
ZM100109,2023-03-30,2023,March,Chennai,South Spice,Biryani,C1109,1,484,62,41,317,146,Cash,Delivered
ZM100110,2023-01-12,2023,January,Bangalore,BBQ Nation,Biryani,C1110,1,888,147,82,754,69,UPI,Delivered
ZM100111,2026-03-12,2026,March,Bangalore,South Spice,South Indian,C1111,3,1151,61,51,825,316,Card,Cancelled
ZM100112,2025-08-27,2025,August,Bangalore,Pizza Hub,Rolls,C1112,1,1594,174,85,1169,336,Card,Delivered
ZM100113,2022-04-10,2022,April,Hyderabad,Pizza Hub,Pizza,C1113,4,2120,7,48,1312,849,Cash,Delivered
ZM100114,2026-01-18,2026,January,Delhi,Biryani House,Biryani,C1114,4,2334,54,51,1818,513,Cash,Delivered
ZM100115,2025-06-30,2025,June,Delhi,Burger Point,Burger,C1115,3,1990,71,73,1362,630,UPI,Cancelled
ZM100116,2023-07-11,2023,July,Pune,Burger Point,Chinese,C1116,2,2343,87,97,1759,594,UPI,Delivered
ZM100117,2022-06-28,2022,June,Delhi,Burger Point,South Indian,C1117,2,2254,73,26,1767,440,Cash,Cancelled
ZM100118,2023-08-01,2023,August,Mumbai,Burger Point,Pizza,C1118,4,281,1,20,226,74,Cash,Delivered
ZM100119,2021-12-07,2021,December,Pune,Biryani House,Pizza,C1119,4,1755,4,56,1232,575,UPI,Cancelled
ZM100120,2025-03-05,2025,March,Hyderabad,Roll Factory,BBQ,C1120,4,1587,23,93,1176,481,UPI,Delivered
ZM100121,2021-06-04,2021,June,Hyderabad,Roll Factory,Chinese,C1121,2,436,24,92,276,228,Card,Delivered
ZM100122,2025-09-07,2025,September,Delhi,Pizza Hub,Chinese,C1122,5,1004,74,89,831,188,UPI,Delivered
ZM100123,2025-09-12,2025,September,Chennai,Roll Factory,South Indian,C1123,1,1900,152,95,1238,605,Cash,Delivered
ZM100124,2021-10-07,2021,October,Delhi,BBQ Nation,Pizza,C1124,3,367,97,31,278,23,UPI,Delivered
ZM100125,2021-12-02,2021,December,Hyderabad,South Spice,Chinese,C1125,2,1799,129,73,1411,332,Cash,Delivered
ZM100126,2020-01-29,2020,January,Kolkata,Burger Point,Rolls,C1126,5,1519,10,55,1184,380,Card,Delivered
ZM100127,2022-01-27,2022,January,Mumbai,Burger Point,Biryani,C1127,5,1512,35,39,968,548,Card,Delivered
ZM100128,2020-12-30,2020,December,Bangalore,Biryani House,Biryani,C1128,3,681,153,85,426,187,UPI,Delivered
ZM100129,2022-07-27,2022,July,Delhi,Chinese Wok,Chinese,C1129,2,224,38,54,180,60,Cash,Delivered
ZM100130,2020-04-11,2020,April,Delhi,Biryani House,Pizza,C1130,2,1836,43,78,1522,349,UPI,Delivered
ZM100131,2024-02-29,2024,February,Bangalore,BBQ Nation,South Indian,C1131,4,1541,79,27,1170,319,Card,Cancelled
ZM100132,2021-12-10,2021,December,Bangalore,South Spice,Pizza,C1132,1,1312,11,34,1014,321,Cash,Cancelled
ZM100133,2022-02-16,2022,February,Delhi,BBQ Nation,Biryani,C1133,1,2017,85,26,1227,731,Cash,Cancelled
ZM100134,2024-03-01,2024,March,Hyderabad,Pizza Hub,BBQ,C1134,3,926,81,58,660,243,UPI,Delivered
ZM100135,2023-03-28,2023,March,Chennai,BBQ Nation,BBQ,C1135,3,2435,44,22,1884,529,Cash,Delivered
ZM100136,2023-10-04,2023,October,Chennai,Pizza Hub,Rolls,C1136,1,215,169,85,130,1,Cash,Delivered
ZM100137,2024-12-09,2024,December,Delhi,Roll Factory,Biryani,C1137,5,1497,159,58,901,495,UPI,Delivered
ZM100138,2020-09-01,2020,September,Bangalore,Pizza Hub,Rolls,C1138,4,896,15,75,598,358,UPI,Delivered
ZM100139,2020-12-05,2020,December,Chennai,Chinese Wok,Pizza,C1139,5,2250,172,33,1517,594,Card,Delivered
ZM100140,2021-03-07,2021,March,Mumbai,Chinese Wok,Burger,C1140,1,2198,72,34,1529,631,Card,Delivered
ZM100141,2025-10-09,2025,October,Kolkata,Roll Factory,Burger,C1141,5,1138,123,89,962,142,Card,Delivered
ZM100142,2026-03-23,2026,March,Kolkata,Roll Factory,South Indian,C1142,1,971,58,91,811,193,Cash,Delivered
ZM100143,2023-10-21,2023,October,Hyderabad,Roll Factory,South Indian,C1143,2,425,56,60,274,155,UPI,Delivered
ZM100144,2021-12-27,2021,December,Delhi,Burger Point,Pizza,C1144,1,1744,98,39,1480,205,Cash,Delivered
ZM100145,2022-04-29,2022,April,Delhi,South Spice,BBQ,C1145,1,2463,2,51,1763,749,UPI,Delivered
ZM100146,2021-08-02,2021,August,Mumbai,South Spice,Biryani,C1146,5,1490,104,75,992,469,Cash,Delivered
ZM100147,2023-09-17,2023,September,Hyderabad,Pizza Hub,Chinese,C1147,2,720,39,44,531,194,Cash,Delivered
ZM100148,2023-06-28,2023,June,Mumbai,South Spice,Chinese,C1148,5,1399,89,37,867,480,UPI,Delivered
ZM100149,2021-08-15,2021,August,Chennai,Burger Point,South Indian,C1149,2,1524,61,77,1132,408,UPI,Delivered
ZM100150,2023-07-09,2023,July,Bangalore,South Spice,Burger,C1150,3,2339,96,78,1910,411,UPI,Delivered
ZM100151,2024-09-12,2024,September,Kolkata,South Spice,Burger,C1151,2,555,190,46,437,-26,UPI,Delivered
ZM100152,2022-11-20,2022,November,Delhi,Chinese Wok,BBQ,C1152,2,1774,158,21,1433,204,Card,Cancelled
ZM100153,2024-03-28,2024,March,Delhi,Burger Point,Rolls,C1153,3,1336,16,79,804,595,Cash,Delivered
ZM100154,2021-08-08,2021,August,Pune,South Spice,South Indian,C1154,1,1447,62,47,1097,335,Card,Cancelled
ZM100155,2025-03-02,2025,March,Pune,Biryani House,Pizza,C1155,4,1465,67,83,1138,343,Card,Delivered
ZM100156,2020-01-22,2020,January,Delhi,Chinese Wok,Chinese,C1156,2,2457,49,33,2072,369,Cash,Delivered
ZM100157,2022-08-05,2022,August,Kolkata,BBQ Nation,Burger,C1157,5,1230,28,30,990,242,Cash,Delivered
ZM100158,2025-06-29,2025,June,Delhi,Biryani House,BBQ,C1158,2,1653,28,23,1167,481,Cash,Delivered
ZM100159,2026-01-13,2026,January,Pune,Burger Point,Burger,C1159,3,2023,129,66,1557,403,Cash,Delivered
ZM100160,2022-09-15,2022,September,Delhi,Burger Point,Burger,C1160,5,1068,186,25,843,64,UPI,Delivered
ZM100161,2022-07-22,2022,July,Mumbai,Pizza Hub,BBQ,C1161,2,2180,162,83,1781,320,Cash,Cancelled
ZM100162,2022-12-19,2022,December,Hyderabad,Roll Factory,Pizza,C1162,1,1880,92,72,1200,660,Cash,Delivered
ZM100163,2020-12-14,2020,December,Mumbai,Roll Factory,BBQ,C1163,4,892,23,79,750,198,UPI,Delivered
ZM100164,2026-03-03,2026,March,Bangalore,Chinese Wok,BBQ,C1164,1,1459,83,28,948,456,Card,Delivered
ZM100165,2020-04-26,2020,April,Bangalore,South Spice,Pizza,C1165,2,1567,71,30,1325,201,Card,Cancelled
ZM100166,2020-12-03,2020,December,Pune,Burger Point,Biryani,C1166,3,1524,32,60,929,623,UPI,Cancelled
ZM100167,2024-08-22,2024,August,Bangalore,Pizza Hub,Biryani,C1167,4,913,167,51,762,35,UPI,Delivered
ZM100168,2025-05-03,2025,May,Pune,BBQ Nation,Pizza,C1168,1,2363,153,41,1608,643,Card,Delivered
ZM100169,2020-05-22,2020,May,Hyderabad,South Spice,Burger,C1169,2,305,118,63,190,60,Cash,Delivered
ZM100170,2025-08-18,2025,August,Chennai,Chinese Wok,Rolls,C1170,1,2470,159,60,1919,452,Card,Delivered
ZM100171,2020-09-07,2020,September,Chennai,BBQ Nation,Burger,C1171,3,1307,131,25,1051,150,Cash,Delivered
ZM100172,2022-05-23,2022,May,Hyderabad,Pizza Hub,Burger,C1172,3,2334,11,32,1680,675,Cash,Delivered
ZM100173,2021-11-15,2021,November,Pune,Pizza Hub,Burger,C1173,5,894,31,70,572,361,Card,Delivered
ZM100174,2020-11-07,2020,November,Hyderabad,South Spice,South Indian,C1174,1,1282,130,47,833,366,Card,Delivered
ZM100175,2023-05-15,2023,May,Kolkata,Pizza Hub,South Indian,C1175,1,1102,75,68,900,195,UPI,Cancelled
ZM100176,2023-10-19,2023,October,Bangalore,Chinese Wok,Pizza,C1176,4,1155,151,69,943,130,UPI,Delivered
ZM100177,2024-03-15,2024,March,Hyderabad,Burger Point,Pizza,C1177,4,1641,163,25,1253,250,Card,Delivered
ZM100178,2023-07-15,2023,July,Hyderabad,Pizza Hub,Chinese,C1178,3,729,39,40,571,159,Card,Delivered
ZM100179,2022-07-28,2022,July,Bangalore,Roll Factory,Rolls,C1179,2,574,36,88,354,272,UPI,Delivered
ZM100180,2020-01-14,2020,January,Bangalore,Chinese Wok,Pizza,C1180,1,329,69,36,229,67,Cash,Delivered
ZM100181,2020-09-17,2020,September,Kolkata,BBQ Nation,Burger,C1181,1,1647,183,55,1387,132,Card,Delivered
ZM100182,2021-09-21,2021,September,Bangalore,South Spice,Chinese,C1182,2,1828,9,95,1475,439,Cash,Cancelled
ZM100183,2026-06-18,2026,June,Mumbai,South Spice,Biryani,C1183,4,1507,120,56,1038,405,UPI,Cancelled
ZM100184,2024-04-28,2024,April,Pune,Pizza Hub,Biryani,C1184,4,1590,133,80,967,570,Cash,Delivered
ZM100185,2022-11-09,2022,November,Hyderabad,South Spice,Biryani,C1185,2,2366,34,89,1526,895,UPI,Delivered
ZM100186,2023-05-14,2023,May,Hyderabad,Burger Point,Rolls,C1186,4,689,19,72,496,246,Card,Delivered
ZM100187,2023-04-23,2023,April,Pune,South Spice,Chinese,C1187,3,1118,171,57,709,295,Card,Delivered
ZM100188,2022-06-10,2022,June,Pune,South Spice,BBQ,C1188,2,1564,128,27,999,464,Card,Delivered
ZM100189,2026-06-16,2026,June,Kolkata,Biryani House,Chinese,C1189,2,2193,157,36,1771,301,Cash,Cancelled
ZM100190,2020-12-10,2020,December,Bangalore,Pizza Hub,Rolls,C1190,4,1510,141,72,1157,284,Card,Delivered
ZM100191,2021-12-04,2021,December,Delhi,BBQ Nation,Biryani,C1191,1,1312,175,32,1043,126,Cash,Cancelled
ZM100192,2021-05-08,2021,May,Delhi,Biryani House,BBQ,C1192,4,1837,18,89,1516,392,Cash,Delivered
ZM100193,2023-09-16,2023,September,Kolkata,Biryani House,Chinese,C1193,1,1567,53,90,942,662,Card,Delivered
ZM100194,2025-12-30,2025,December,Hyderabad,Chinese Wok,Rolls,C1194,5,1696,160,68,1248,356,Card,Delivered
ZM100195,2022-08-19,2022,August,Chennai,Roll Factory,Chinese,C1195,1,1226,84,45,1027,160,UPI,Delivered
ZM100196,2023-03-23,2023,March,Mumbai,Chinese Wok,BBQ,C1196,1,211,132,67,157,-11,Cash,Cancelled
ZM100197,2023-09-11,2023,September,Kolkata,BBQ Nation,South Indian,C1197,2,1090,170,40,707,253,Cash,Delivered
ZM100198,2025-01-01,2025,January,Pune,Burger Point,Pizza,C1198,3,250,14,87,208,115,Card,Delivered
ZM100199,2022-08-21,2022,August,Chennai,Chinese Wok,Rolls,C1199,5,1892,155,54,1409,382,Card,Delivered
ZM100200,2025-11-07,2025,November,Kolkata,BBQ Nation,BBQ,C1200,1,549,6,93,439,197,UPI,Delivered
ZM100201,2021-03-20,2021,March,Pune,Biryani House,Chinese,C1201,2,1151,35,87,715,488,UPI,Delivered
ZM100202,2025-12-28,2025,December,Chennai,Pizza Hub,Biryani,C1202,5,1443,136,45,942,410,UPI,Delivered
ZM100203,2026-01-08,2026,January,Hyderabad,Chinese Wok,Chinese,C1203,1,1058,36,87,707,402,Cash,Delivered
ZM100204,2020-05-25,2020,May,Mumbai,Pizza Hub,Biryani,C1204,3,1662,68,66,1094,566,Cash,Delivered
ZM100205,2021-10-23,2021,October,Bangalore,Roll Factory,South Indian,C1205,5,1187,198,51,901,139,UPI,Delivered
ZM100206,2022-07-09,2022,July,Hyderabad,Pizza Hub,Rolls,C1206,2,1543,34,26,1193,342,UPI,Delivered
ZM100207,2022-09-25,2022,September,Delhi,Roll Factory,Chinese,C1207,4,1803,101,61,1489,274,UPI,Delivered
ZM100208,2025-04-06,2025,April,Mumbai,South Spice,Biryani,C1208,1,1576,122,89,1085,458,Card,Cancelled
ZM100209,2020-06-08,2020,June,Delhi,Pizza Hub,Burger,C1209,5,1935,49,86,1418,554,Card,Delivered
ZM100210,2023-02-27,2023,February,Pune,Chinese Wok,Pizza,C1210,4,1432,34,49,978,469,UPI,Delivered
ZM100211,2026-05-23,2026,May,Kolkata,Chinese Wok,Biryani,C1211,1,510,105,81,359,127,Cash,Cancelled
ZM100212,2020-08-24,2020,August,Delhi,Chinese Wok,Rolls,C1212,4,829,4,84,671,238,Card,Delivered
ZM100213,2021-03-31,2021,March,Chennai,South Spice,Rolls,C1213,1,1212,15,95,964,328,UPI,Delivered
ZM100214,2025-12-01,2025,December,Bangalore,Biryani House,Burger,C1214,5,1801,104,21,1502,216,Cash,Cancelled
ZM100215,2024-09-21,2024,September,Kolkata,Roll Factory,Chinese,C1215,2,510,5,54,406,153,UPI,Cancelled
ZM100216,2021-05-04,2021,May,Hyderabad,Roll Factory,Pizza,C1216,4,760,41,57,611,165,Card,Delivered
ZM100217,2020-05-13,2020,May,Hyderabad,Pizza Hub,Burger,C1217,3,1147,13,92,780,446,Card,Delivered
ZM100218,2024-12-16,2024,December,Pune,Biryani House,Chinese,C1218,2,465,24,85,294,232,Cash,Delivered
ZM100219,2023-02-07,2023,February,Chennai,South Spice,Pizza,C1219,5,2160,133,44,1655,416,UPI,Delivered
ZM100220,2024-05-22,2024,May,Mumbai,South Spice,BBQ,C1220,5,2179,11,51,1373,846,Card,Cancelled
ZM100221,2024-08-08,2024,August,Hyderabad,Roll Factory,Pizza,C1221,5,2051,190,25,1230,656,Cash,Delivered
ZM100222,2026-05-23,2026,May,Pune,Burger Point,Pizza,C1222,3,1740,161,29,1136,472,UPI,Delivered
ZM100223,2022-12-15,2022,December,Bangalore,Chinese Wok,Rolls,C1223,1,1182,82,28,751,377,Card,Delivered
